"X1" "X2"
"1" 1.17228095 5.75213236
"2" 1.05443001 5.10029341
"3" 1.21814807 5.15920217
"4" 1.75362297 7.88315382
"5" 2.05005447 7.38909041
"6" 2.20779501 3.44969157
"7" 5.29273819 3.15319415
"8" 0.0379661006 6.00430278
"9" 0.717431136 6.13701974
"10" -1.18307081 1.58755199
"11" -0.817944961 2.63902188
"12" 1.21663018 5.5803155
"13" -0.254147644 1.10080559
"14" 3.02128295 6.09120151
"15" 2.48589386 4.31904544
"16" 0.0606880749 3.54822919
"17" 1.37942797 -0.169794694
"18" 1.53537865 7.41921097
"19" -0.20733527 1.30016067
"20" 3.14906787 5.85690104
"21" 0.244103605 4.6638734
"22" 5.36539238 3.95180149
"23" 0.73085944 7.00801146
"24" 0.180023535 5.88478502
"25" 1.53047798 4.05999791
"26" 0.791333617 5.71722906
"27" 0.0655654575 0.905426617
"28" 1.38467398 6.63742426
"29" 1.79979815 6.71734412
"30" 0.828621197 3.04987927
"31" 1.75036044 4.24738427
"32" 2.15780196 1.4785623
"33" 0.828676961 0.628380383
"34" 0.216434984 0.926169832
"35" 0.550128803 5.37697581
"36" 2.38266864 5.18139984
"37" 0.921053412 5.70318952
"38" 1.46824563 7.89259375
"39" 1.80404389 5.52711683
"40" -0.135372844 2.21808015
"41" 4.62866329 2.91729119
"42" 3.85513598 -0.437458909
"43" 1.25478561 1.02320796
"44" 1.43044841 5.63900429
"45" 2.57838322 1.88864546
"46" -0.712000233 6.04217446
"47" 0.950127959 -0.934405235
"48" 0.859612915 4.16013961
"49" 1.33340031 4.46900078
"50" 0.00228097313 6.18740059
"51" -0.127745831 2.67346919
"52" 1.05177972 0.788870301
"53" 0.298444207 -0.741814209
"54" 7.44859547 5.10469501
"55" 1.96411615 6.07498364
"56" 0.655587129 0.101841964
"57" 6.0628229 4.19903133
"58" 1.90795092 5.03222045
"59" -0.133650845 1.69295177
"60" 1.67282854 3.00733371
"61" 0.841193517 0.289067493
"62" 1.04471735 6.17667453
"63" -1.5450435 0.565613984
"64" -0.113853798 4.49026398
"65" 1.91868384 7.28362874
"66" 1.00779443 7.14828357
"67" 0.431762587 2.65185979
"68" 3.84805094 2.86355455
"69" -0.335238782 -0.0290631904
"70" 0.380401143 7.06808394
"71" 1.82417608 5.04868577
"72" 0.224337126 5.92130256
"73" 0.659334736 7.29999028
"74" 7.34370047 5.05385313
"75" 0.991611285 -0.155261353
"76" 5.09749823 2.881026
"77" 0.318859049 2.72265595
"78" 1.21866814 6.21258467
"79" 2.24323003 5.35313608
"80" -0.206916261 0.025051164
"81" 1.70688539 5.34792446
"82" 2.80925852 7.47969546
"83" 1.39928975 0.630461599
"84" 0.928624137 6.61272881
"85" 1.63769046 2.02376264
"86" 0.115164121 1.23235414
"87" 1.99122691 5.74855367
"88" 5.49601619 3.507929
"89" 1.64027822 5.118203
"90" 3.47025332 -0.0313939623
"91" 1.38024349 5.32545816
"92" 1.07609829 -1.14385512
"93" 3.71602779 -1.24885308
"94" 2.22826831 -0.151667641
"95" 4.5520411 3.95085815
"96" -0.948514713 5.11682395
"97" 0.409485658 4.65397035
"98" 1.38047573 0.570108587
"99" 3.13782847 0.753836201
"100" 5.81913064 3.99649479
"101" 0.452859227 6.41737533
"102" 1.42731546 6.02591123
"103" 1.04158269 0.387923359
"104" 1.7377965 0.719658247
"105" 2.42582556 4.77945288
"106" 1.09592795 5.06008719
"107" -1.45614922 5.95579921
"108" 6.72249455 4.87447705
